term,cur,prev,diff,total,ma7,z_like
엔비디아,19,0,19,98,3.714,5.222
애플,18,8,10,302,8.571,2.401
lg전자,10,5,5,238,5.714,1.264
oled,9,12,-3,353,22.0,-2.285
폴더블,6,3,3,229,11.429,-1.239
갤럭시,6,7,-1,242,16.571,-2.085
삼성전자,5,12,-7,356,11.571,-1.493
디스플레이,5,7,-2,319,16.714,-2.302
ar,4,0,4,43,1.857,0.907
메타,4,4,0,31,1.857,0.907
모니터,4,2,2,90,2.429,0.614
lg디스플레이,4,13,-9,128,10.714,-1.571
아이패드,3,0,3,21,0.429,1.554
벤큐,3,0,3,13,0.429,1.554
잉크젯,3,0,3,6,0.429,1.554
tv,3,1,2,124,3.571,-0.198
마이크로소프트,2,0,2,2,0.286,1.117
tsmc,2,1,1,17,0.429,0.95
아마존,2,1,1,8,0.429,0.95
화웨이,2,0,2,6,0.429,0.95
boe,2,0,2,19,0.714,0.697
소니,2,0,2,9,0.714,0.697
노트북,2,5,-3,102,1.714,0.124
레노버,2,0,2,39,2.286,-0.114
스마트폰,2,4,-2,106,2.429,-0.168
xr,2,2,0,92,2.714,-0.27
sk하이닉스,2,5,-3,123,3.0,-0.366
하이센스,1,0,1,8,0.143,0.622
벤츠,1,0,1,5,0.143,0.622
galaxy,1,0,1,4,0.143,0.622
롤러블,1,0,1,3,0.143,0.622
카카오,1,0,1,14,0.286,0.465
현대모비스,1,0,1,8,0.286,0.465
필립스,1,0,1,2,0.286,0.465
sharp,1,0,1,25,0.571,0.244
인텔,1,0,1,31,0.714,0.155
nvidia,1,0,1,6,0.714,0.155
아이폰,1,0,1,78,1.143,-0.069
기아,1,0,1,41,1.286,-0.134
hp,1,0,1,42,1.571,-0.254
퀄컴,1,0,1,27,1.571,-0.254
amd,1,0,1,28,2.429,-0.558
구글,1,1,0,53,2.857,-0.69
