term,cur,prev,diff,total,ma7,z_like
디스플레이,14,1,13,213,7.429,1.764
hp,2,0,2,37,0.286,1.117
asus,2,0,2,10,0.571,0.814
비전프로,1,0,1,3,0.143,0.622
udc,1,0,1,13,0.143,0.622
amd,1,0,1,15,0.143,0.622
엔비디아,2,0,2,59,1.0,0.5
생산능력,1,0,1,2,0.286,0.465
csot,1,0,1,3,0.286,0.465
공급망,1,0,1,12,0.286,0.465
tsmc,1,0,1,19,0.429,0.345
메타,1,0,1,26,0.429,0.345
주사율,1,0,1,13,0.571,0.244
고성능,1,0,1,22,0.571,0.244
sk하이닉스,1,1,0,39,0.571,0.244
ar,1,0,1,40,0.571,0.244
레노버,1,0,1,70,0.571,0.244
모니터,7,3,4,192,6.429,0.162
구글,1,0,1,64,0.714,0.155
xr,2,0,2,89,1.714,0.124
boe,1,1,0,57,0.857,0.074
애플,4,3,1,159,3.857,0.048
현대모비스,1,1,0,66,1.143,-0.069
lg디스플레이,6,1,5,142,6.286,-0.081
스마트폰,2,2,0,107,2.571,-0.219
노트북,2,2,0,99,3.0,-0.366
모바일,1,1,0,70,2.571,-0.604
