term,cur,prev,diff,total,ma7,z_like
기아,27,0,27,40,4.0,7.667
lg전자,24,30,-6,363,17.286,1.302
모니터,18,3,15,202,6.714,3.143
레노버,17,17,0,91,8.0,2.351
tv,12,18,-6,373,16.571,-0.902
애플,10,3,7,147,5.0,1.545
현대모비스,7,0,7,45,1.429,2.538
디스플레이,7,3,4,250,10.714,-0.869
스마트폰,6,2,4,95,2.286,1.479
하이센스,4,1,3,24,2.714,0.486
lg디스플레이,4,8,-4,137,4.571,-0.182
엔비디아,4,10,-6,84,6.0,-0.58
oled,4,19,-15,435,24.143,-3.406
폴더블,3,4,-1,88,3.429,-0.15
노트북,3,1,2,96,5.143,-0.656
vr,2,0,2,8,0.286,1.117
한화시스템,2,0,2,5,0.429,0.95
아이폰,2,1,1,80,1.143,0.414
ar,2,0,2,41,1.429,0.26
삼성전자,2,25,-23,526,21.143,-3.42
도우인시스,1,0,1,7,0.143,0.622
오포,1,0,1,5,0.143,0.622
apple,1,0,1,2,0.143,0.622
asus,1,0,1,10,0.286,0.465
fmm,1,0,1,4,0.286,0.465
아마존,1,0,1,10,0.429,0.345
tsmc,1,1,0,17,0.571,0.244
fhd,1,3,-2,5,0.714,0.155
xr,1,1,0,67,0.857,0.074
양산,1,1,0,24,0.857,0.074
샤오미,1,1,0,14,1.0,0.0
lcd,1,1,0,46,1.143,-0.069
구글,1,3,-2,42,1.143,-0.069
sk하이닉스,1,2,-1,37,1.286,-0.134
갤럭시,1,1,0,75,1.714,-0.309
삼성디스플레이,1,1,0,167,10.714,-2.273
