term,cur,prev,diff,ma7,z_like,total
tgs,5,2,3,1.0,2.0,7
미래나노텍,4,0,4,0.571,1.953,4
안경,4,0,4,0.714,1.781,5
lg디스플레이,6,7,-1,1.857,1.753,15
브레이커스,4,2,2,0.857,1.632,6
사업,3,0,3,0.429,1.554,4
안세영,3,0,3,0.429,1.554,3
영역,3,0,3,0.429,1.554,3
장기,3,0,3,0.429,1.554,4
모멘텀,3,0,3,0.571,1.383,6
무한,3,0,3,0.571,1.383,5
반등,3,0,3,0.571,1.383,5
추격,3,0,3,0.571,1.383,6
엔씨소프트,3,1,2,0.571,1.383,4
중국,4,3,1,1.143,1.381,11
수장,4,4,0,1.143,1.381,8
삼성,9,10,-1,4.714,1.351,60
실적,6,11,-5,2.571,1.317,19
30,2,0,2,0.286,1.117,2
3일차,2,0,2,0.286,1.117,2
emi,2,0,2,0.286,1.117,2
s26,2,0,2,0.286,1.117,2
가세,2,0,2,0.286,1.117,2
게임사들,2,0,2,0.286,1.117,2
격변,2,0,2,0.286,1.117,2
관심,2,0,2,0.286,1.117,2
구글,2,0,2,0.286,1.117,5
기술로,2,0,2,0.286,1.117,2
난항,2,0,2,0.286,1.117,2
내어줄,2,0,2,0.286,1.117,2
다각화,2,0,2,0.286,1.117,3
독주,2,0,2,0.286,1.117,2
라인업,2,0,2,0.286,1.117,3
멀티플랫폼으로,2,0,2,0.286,1.117,2
무기,2,0,2,0.286,1.117,2
박정현,2,0,2,0.286,1.117,2
보여준다,2,0,2,0.286,1.117,2
본고장,2,0,2,0.286,1.117,2
부대,2,0,2,0.286,1.117,2
서브컬처,2,0,2,0.286,1.117,2
선도,2,0,2,0.286,1.117,3
성능,2,0,2,0.286,1.117,3
성장세,2,0,2,0.286,1.117,2
쉽지,2,0,2,0.286,1.117,2
신성장동력,2,0,2,0.286,1.117,2
안방,2,0,2,0.286,1.117,3
않네,2,0,2,0.286,1.117,2
에프엔에스테크,2,0,2,0.286,1.117,2
위태한,2,0,2,0.286,1.117,2
이차전지,2,0,2,0.286,1.117,2
일본서,2,0,2,0.286,1.117,2
자신,2,0,2,0.286,1.117,2
전희철,2,0,2,0.286,1.117,2
집중,2,0,2,0.286,1.117,5
차원이,2,0,2,0.286,1.117,2
참전,2,0,2,0.286,1.117,2
체계,2,0,2,0.286,1.117,2
필터,2,0,2,0.286,1.117,2
한목소리,2,0,2,0.286,1.117,2
헤드셋,2,0,2,0.286,1.117,2
확보로,2,0,2,0.286,1.117,2
