term,cur,prev,diff,total,ma7,z_like
벤츠,27,0,27,52,4.286,7.398
폴더블,20,1,19,162,7.143,3.501
kaist,7,0,7,25,1.143,2.831
sk하이닉스,6,0,6,90,1.857,1.753
공급망,6,2,4,36,2.143,1.565
hp,6,0,6,27,2.286,1.479
4k,3,0,3,13,0.714,1.239
bmw,2,0,2,13,0.429,0.95
애플,10,2,8,256,6.857,0.869
ar,2,0,2,46,0.714,0.697
fmm,1,0,1,1,0.143,0.622
프로아트,1,0,1,1,0.143,0.622
sharp,1,0,1,5,0.143,0.622
lcd,2,0,2,35,0.857,0.593
lg화학,2,0,2,46,0.857,0.593
스마트폰,6,0,6,115,4.286,0.558
양산,3,0,3,92,1.714,0.557
소니,2,1,1,40,1.0,0.5
lg디스플레이,3,0,3,115,1.857,0.484
증착기,1,0,1,2,0.286,0.465
asus,1,0,1,23,0.286,0.465
고성능,1,0,1,23,0.286,0.465
lg전자,4,2,2,278,3.0,0.366
화웨이,2,0,2,24,1.286,0.335
맥북,1,0,1,18,0.571,0.244
모니터,3,0,3,176,2.429,0.223
아이패드,1,0,1,8,0.714,0.155
메타,1,0,1,29,1.143,-0.069
아이폰,2,0,2,123,2.286,-0.114
인텔,1,1,0,31,1.286,-0.134
oled,3,3,0,291,6.857,-1.066
