date,semantic_key,topic_id,avg_sentiment,article_count
2025-10-28,Uncategorized,0,0.5075,370
2025-10-28,Automotive_Topic,1,0.5075,219
2025-10-28,Uncategorized,2,0.5093,103
2025-10-28,Uncategorized,3,0.5081,76
2025-10-28,Uncategorized,4,0.5078,295
2025-10-28,Uncategorized,5,0.5085,311
2025-10-28,Uncategorized,6,0.5078,290
2025-10-28,Uncategorized,7,0.5083,389
2025-10-28,Uncategorized,8,0.5084,349
2025-10-28,OLED_Topic,9,0.5084,332
2025-10-28,Uncategorized,10,0.508,384
2025-10-28,Uncategorized,11,0.5082,378
2025-10-28,Uncategorized,12,0.5082,270
2025-10-28,Uncategorized,13,0.5091,199
2025-10-31,Uncategorized,0,0.5362,231
2025-10-31,Uncategorized,1,0.5342,130
2025-10-31,Uncategorized,2,0.5349,276
2025-10-31,Uncategorized,3,0.5352,446
2025-10-31,Uncategorized,4,0.5349,334
2025-10-31,Uncategorized,5,0.5348,448
2025-10-31,OLED_Topic,6,0.5355,385
2025-10-31,Uncategorized,7,0.5355,302
2025-10-31,Uncategorized,8,0.5356,433
2025-10-31,Uncategorized,9,0.5348,391
2025-11-01,Uncategorized,0,0.4642,346
2025-11-01,Uncategorized,1,0.4644,153
2025-11-01,Uncategorized,2,0.4642,243
2025-11-01,Uncategorized,3,0.4646,253
2025-11-01,Uncategorized,4,0.4671,325
2025-11-01,Uncategorized,5,0.4667,245
2025-11-01,Uncategorized,6,0.4645,224
2025-11-01,Uncategorized,7,0.4658,292
2025-11-01,OLED_Topic,8,0.4642,297
2025-11-01,Uncategorized,9,0.4644,206
2025-11-02,Uncategorized,0,0.5254,76
2025-11-02,Uncategorized,1,0.5286,121
2025-11-02,Uncategorized,2,0.5282,218
2025-11-02,Uncategorized,3,0.5263,153
2025-11-02,Uncategorized,4,0.5271,180
2025-11-02,Uncategorized,5,0.5271,278
2025-11-02,Uncategorized,6,0.5273,225
2025-11-02,Uncategorized,7,0.528,256
2025-11-03,Uncategorized,0,0.4933,145
2025-11-03,Uncategorized,1,0.4914,346
2025-11-03,Uncategorized,2,0.4927,237
2025-11-03,Uncategorized,3,0.4909,276
2025-11-03,Uncategorized,4,0.492,261
2025-11-03,Uncategorized,5,0.4908,353
2025-11-03,Uncategorized,6,0.4902,277
2025-11-03,Uncategorized,7,0.4942,202
2025-11-03,Uncategorized,8,0.4913,220
2025-11-03,Uncategorized,9,0.4934,233
2025-11-03,Uncategorized,10,0.492,238
2025-11-03,Uncategorized,11,0.4915,163
2025-11-04,Uncategorized,0,0.4676,342
2025-11-04,Uncategorized,1,0.467,219
2025-11-04,Uncategorized,2,0.4661,311
2025-11-04,Uncategorized,3,0.4665,425
2025-11-04,Uncategorized,4,0.4656,260
2025-11-04,Uncategorized,5,0.4677,334
2025-11-04,Uncategorized,6,0.4653,239
2025-11-04,Uncategorized,7,0.4677,390
2025-11-04,Uncategorized,8,0.4673,368
2025-11-04,Uncategorized,9,0.4667,364
2025-11-04,Uncategorized,10,0.4667,233
2025-11-04,Uncategorized,11,0.4659,270
2025-11-05,Uncategorized,0,0.4606,446
2025-11-05,Uncategorized,1,0.4612,207
2025-11-05,Uncategorized,2,0.4602,375
2025-11-05,Uncategorized,3,0.4617,383
2025-11-05,Uncategorized,4,0.4635,382
2025-11-05,Uncategorized,5,0.4588,261
2025-11-05,Uncategorized,6,0.4593,174
2025-11-05,Uncategorized,7,0.4612,363
2025-11-05,Uncategorized,8,0.4605,245
2025-11-05,Uncategorized,9,0.4614,188
2025-11-06,Uncategorized,0,0.4716,234
2025-11-06,Uncategorized,1,0.4726,326
2025-11-06,Uncategorized,2,0.4725,320
2025-11-06,Uncategorized,3,0.4724,410
2025-11-06,Uncategorized,4,0.4722,365
2025-11-06,Uncategorized,5,0.4736,270
2025-11-06,Uncategorized,6,0.4735,330
2025-11-06,Uncategorized,7,0.4725,357
2025-11-07,Uncategorized,0,0.4847,171
2025-11-07,Uncategorized,1,0.4838,264
2025-11-07,Uncategorized,2,0.4819,338
2025-11-07,Uncategorized,3,0.4828,419
2025-11-07,Uncategorized,4,0.4866,55
2025-11-07,Uncategorized,5,0.4823,421
2025-11-07,Uncategorized,6,0.4861,222
2025-11-07,Uncategorized,7,0.4816,235
2025-11-07,Uncategorized,8,0.481,249
2025-11-07,Uncategorized,9,0.4784,368
2025-11-08,Uncategorized,0,0.507,165
2025-11-08,Uncategorized,1,0.5061,345
2025-11-08,Uncategorized,2,0.5058,72
2025-11-08,Uncategorized,3,0.5061,338
2025-11-08,Uncategorized,4,0.505,297
2025-11-08,Uncategorized,5,0.5035,321
2025-11-09,TV_Display_Topic,0,0.9959,170
2025-11-09,Set_Manufacturer,1,0.9965,153
2025-11-10,Foldable_Display_Topic,0,0.7549,297
2025-11-10,Panel_Manufacturer,1,0.7087,256
2025-11-10,Flexible_Display_Topic,2,0.7403,369
2025-11-11,Platform_Company,0,0.9972,345
2025-11-11,Gaming_Monitor_Topic,1,0.9969,279
2025-11-11,Panel_Manufacturer,2,0.9967,415
2025-11-11,Automotive_Display_Topic,3,0.9949,469
2025-11-11,Flexible_Display_Topic,4,0.9947,437
2025-11-11,Set_Manufacturer,5,0.9961,414
2025-11-12,Flexible_Display_Topic,0,0.9999,474
2025-11-12,Set_Manufacturer,1,0.9999,353
2025-11-12,Gaming_Monitor_Topic,2,0.9999,336
2025-11-12,Transparent_Display_Topic,3,0.9999,384
2025-11-12,TV_Display_Topic,4,0.9999,235
2025-11-12,Equipment_Maker,5,0.9999,371
2025-11-12,Foldable_Display_Topic,6,0.9999,333
2025-11-12,XR_Device_Topic,7,0.9999,473
2025-11-12,Smartphone_Display_Topic,8,0.9999,491
2025-11-12,Panel_Manufacturer,9,0.9999,466
2025-11-13,Panel_Manufacturer,0,0.6816,377
2025-11-13,Quantum_Dot_Topic,1,0.6676,400
2025-11-13,Platform_Company,2,0.6903,452
2025-11-13,Flexible_Display_Topic,3,0.6732,440
2025-11-13,Display_Materials_Topic,4,0.7097,389
2025-11-13,Smartphone_Display_Topic,5,0.696,387
2025-11-13,Apple_Display_Topic,6,0.6923,482
2025-11-13,Set_Manufacturer,7,0.685,412
