date,semantic_key,topic_id,avg_sentiment,article_count
2026-06-18,Set_Manufacturer,0,0.4903,534
2026-06-18,IT_OLED_Topic,1,0.4895,438
2026-06-18,Foldable_Display_Topic,2,0.4899,478
2026-06-18,TV_Display_Topic,3,0.489,353
2026-06-18,Gaming_Monitor_Topic,4,0.4888,454
2026-06-18,Platform_Company,5,0.4885,457
2026-06-18,Automotive_Display_Topic,6,0.4885,441
2026-06-18,XR_Device_Topic,7,0.4896,488
2026-06-18,Panel_Manufacturer,8,0.49,493
2026-06-18,Flexible_Display_Topic,9,0.4906,515
2026-06-19,Flexible_Display_Topic,0,0.456,443
2026-06-19,Automotive_Display_Topic,1,0.4551,411
2026-06-19,Display_Materials_Topic,2,0.456,506
2026-06-20,Automotive_Display_Topic,0,0.5093,346
2026-06-20,Set_Manufacturer,1,0.5103,280
2026-06-21,Set_Manufacturer,0,0.4963,239
2026-06-21,Foldable_Display_Topic,1,0.4957,237
2026-06-21,Equipment_Maker,2,0.4961,264
2026-06-21,Platform_Company,3,0.4962,238
2026-06-21,Apple_Display_Topic,4,0.4964,245
2026-06-21,Flexible_Display_Topic,5,0.4964,255
2026-06-21,Panel_Manufacturer,6,0.496,252
2026-06-21,Automotive_Display_Topic,7,0.4964,269
2026-06-21,Display_Materials_Topic,8,0.496,255
2026-06-21,MicroLED_Topic,9,0.4958,268
2026-06-22,TV_Display_Topic,0,0.4759,296
2026-06-22,Set_Manufacturer,1,0.4751,315
2026-06-22,Gaming_Monitor_Topic,2,0.4747,218
2026-06-23,Smartphone_Display_Topic,0,0.4909,465
2026-06-23,Panel_Manufacturer,1,0.4899,387
2026-06-23,Quantum_Dot_Topic,2,0.491,456
2026-06-23,Flexible_Display_Topic,3,0.4908,394
2026-06-23,Gaming_Monitor_Topic,4,0.4907,487
2026-06-23,MicroLED_Topic,5,0.4915,395
2026-06-23,TV_Display_Topic,6,0.4898,360
2026-06-23,Apple_Display_Topic,7,0.4912,436
2026-06-23,Set_Manufacturer,8,0.4907,469
2026-06-23,Display_Materials_Topic,9,0.4907,449
2026-06-24,Flexible_Display_Topic,0,0.5315,317
2026-06-24,Foldable_Display_Topic,1,0.5317,428
2026-06-24,Set_Manufacturer,2,0.5312,482
2026-06-24,Panel_Manufacturer,3,0.5314,362
2026-06-25,Set_Manufacturer,0,0.5252,460
2026-06-25,TV_Display_Topic,1,0.5251,409
2026-06-25,Display_Materials_Topic,2,0.525,420
2026-06-25,Equipment_Maker,3,0.5249,450
2026-06-25,Gaming_Monitor_Topic,4,0.5249,349
2026-06-25,Foldable_Display_Topic,5,0.525,427
2026-06-25,Apple_Display_Topic,6,0.5251,445
2026-06-25,Automotive_Display_Topic,7,0.525,465
2026-06-25,Panel_Manufacturer,8,0.5253,406
2026-06-25,Flexible_Display_Topic,9,0.5255,361
2026-06-26,Automotive_Display_Topic,0,0.5317,386
2026-06-26,TV_Display_Topic,1,0.5324,466
2026-06-27,Automotive_Display_Topic,0,0.4985,308
2026-06-27,Panel_Manufacturer,1,0.4986,325
2026-06-27,Display_Materials_Topic,2,0.4998,253
2026-06-27,Set_Manufacturer,3,0.4988,349
2026-06-27,Flexible_Display_Topic,4,0.4986,370
