term,cur,prev,diff,ma7,z_like,total
아마존,13,1,12,2.571,4.005,23
선익시스템,9,0,9,1.286,3.615,38
lg화학,6,0,6,0.857,2.67,22
ar,8,1,7,2.286,2.275,44
스마트폰,8,5,3,3.857,1.398,109
아이폰,5,3,2,2.143,1.16,82
픽셀,2,0,2,0.286,1.117,4
알파벳,2,0,2,0.429,0.95,14
bmw,2,0,2,0.714,0.697,13
sharp,2,0,2,0.714,0.697,27
amd,2,1,1,0.714,0.697,31
asus,1,0,1,0.143,0.622,4
hud,1,0,1,0.143,0.622,1
microsoft,1,0,1,0.143,0.622,1
vr,1,0,1,0.143,0.622,2
울트라와이드,1,0,1,0.143,0.622,1
현대자동차,1,0,1,0.143,0.622,1
xr,3,1,2,1.714,0.557,94
고효율,1,0,1,0.286,0.465,4
딥엑스,1,0,1,0.286,0.465,5
tcl,1,1,0,0.286,0.465,18
프로아트,1,1,0,0.286,0.465,3
nvidia,1,0,1,0.429,0.345,8
삼성디스플레이,1,0,1,0.429,0.345,79
하이센스,1,0,1,0.429,0.345,9
양산,2,4,-2,1.429,0.26,30
벤츠,1,0,1,0.571,0.244,7
마이크로소프트,1,2,-1,0.714,0.155,5
tv,5,6,-1,4.714,0.09,132
boe,1,1,0,1.0,0.0,20
공급망,1,2,-1,1.286,-0.134,37
삼성전자,11,31,-20,11.714,-0.162,380
tsmc,1,0,1,1.571,-0.254,24
노트북,2,4,-2,3.0,-0.366,104
sk하이닉스,3,5,-2,4.143,-0.377,133
폴더블,3,1,2,4.286,-0.419,226
lg디스플레이,6,30,-24,7.857,-0.488,148
lg전자,8,38,-30,10.286,-0.543,265
oled,7,30,-23,10.714,-0.869,380
갤럭시,5,0,5,8.571,-0.909,275
디스플레이,3,8,-5,7.143,-1.128,311
애플,5,12,-7,10.286,-1.256,298
