term,cur,prev,diff,total,ma7,z_like
애플,13,9,4,171,8.286,1.215
oled,11,16,-5,451,12.286,-0.285
디스플레이,9,31,-22,277,12.429,-0.758
노트북,6,2,4,115,5.571,0.128
삼성전자,6,6,0,516,11.571,-1.266
lg디스플레이,5,2,3,122,2.571,0.933
tv,5,14,-9,349,9.0,-1.0
hp,4,1,3,43,4.0,0.0
lg전자,4,6,-2,353,13.143,-1.977
tsmc,3,5,-2,22,1.571,0.634
벤츠,3,7,-4,25,1.714,0.557
sk하이닉스,3,2,1,40,2.143,0.348
엔비디아,3,2,1,90,3.286,-0.102
메타,2,0,2,19,1.286,0.335
폴더블,2,2,0,82,2.143,-0.058
아이폰,2,3,-1,68,2.143,-0.058
구글,2,1,1,52,3.714,-0.586
인텔,2,2,0,52,3.857,-0.627
스마트폰,2,4,-2,89,4.571,-0.819
asus,1,0,1,9,0.143,0.622
맥북,1,0,1,8,0.143,0.622
벤큐,1,0,1,8,0.143,0.622
패드,1,0,1,3,0.143,0.622
퀀텀닷,1,0,1,2,0.143,0.622
노키아,1,0,1,1,0.143,0.622
수율,1,0,1,1,0.143,0.622
퓨리오사,1,0,1,1,0.143,0.622
bmw,1,1,0,23,0.286,0.465
boe,1,1,0,23,0.286,0.465
샤오미,1,0,1,14,0.286,0.465
vr,1,0,1,9,0.286,0.465
고성능,1,1,0,16,0.429,0.345
4k,1,0,1,8,0.429,0.345
공급망,1,0,1,19,0.571,0.244
모바일,1,1,0,64,0.714,0.155
양산,1,1,0,29,0.857,0.074
알파벳,1,0,1,15,2.0,-0.414
삼성디스플레이,1,3,-2,161,2.286,-0.512
xr,1,2,-1,57,2.286,-0.512
