term,cur,prev,diff,ma7,z_like,total
유럽,8,0,8,1.286,3.146,11
무선,7,0,7,1.0,3.0,7
청소기,7,0,7,1.0,3.0,7
1위,8,0,8,1.571,2.853,13
7개국,6,0,6,0.857,2.67,6
미국,7,0,7,1.429,2.538,14
개의,4,0,4,0.571,1.953,4
대죄,4,0,4,0.571,1.953,4
성우,4,0,4,0.571,1.953,4
소비자연맹지,4,0,4,0.571,1.953,4
업종별,4,0,4,0.571,1.953,4
일곱,4,0,4,0.571,1.953,4
넷마블,4,1,3,0.714,1.781,5
origin,3,0,3,0.429,1.554,3
성황,3,0,3,0.429,1.554,3
음식료,3,0,3,0.429,1.554,3
전기,3,0,3,0.429,1.554,6
토크쇼,3,0,3,0.429,1.554,3
3분기,5,0,5,1.571,1.521,11
전자,3,1,2,0.571,1.383,4
카카오,3,0,3,0.571,1.383,4
스마트폰,4,0,4,1.286,1.272,9
휩쓸어,3,0,3,0.714,1.239,5
77,2,0,2,0.286,1.117,2
cars,2,0,2,0.286,1.117,2
cj그룹,2,0,2,0.286,1.117,2
db,2,0,2,0.286,1.117,2
lg화학,2,0,2,0.286,1.117,2
suv,2,0,2,0.286,1.117,5
경남마라톤대회,2,0,2,0.286,1.117,2
공간도,2,0,2,0.286,1.117,2
공개됐다,2,0,2,0.286,1.117,2
광학필터로,2,0,2,0.286,1.117,2
글쎄,2,0,2,0.286,1.117,3
대개편,2,0,2,0.286,1.117,2
두산밥캣,2,0,2,0.286,1.117,2
레이스,2,0,2,0.286,1.117,2
롯데,2,0,2,0.286,1.117,2
메타의,2,0,2,0.286,1.117,2
모바일,2,0,2,0.286,1.117,2
불기둥,2,0,2,0.286,1.117,2
브리프,2,0,2,0.286,1.117,2
성적표,2,0,2,0.286,1.117,2
소비자,2,0,2,0.286,1.117,3
수정,2,0,2,0.286,1.117,2
시간외,2,0,2,0.286,1.117,2
씨라이언,2,0,2,0.286,1.117,7
어디,2,0,2,0.286,1.117,2
옵트론텍,2,0,2,0.286,1.117,2
위협할지는,2,0,2,0.286,1.117,2
이을,2,0,2,0.286,1.117,2
잇단,2,0,2,0.286,1.117,2
제22회,2,0,2,0.286,1.117,2
제품은,2,0,2,0.286,1.117,2
중형,2,0,2,0.286,1.117,3
최종전,2,0,2,0.286,1.117,2
출시국은,2,0,2,0.286,1.117,2
타이베이,2,0,2,0.286,1.117,2
테크,2,0,2,0.286,1.117,2
트리폴드,2,0,2,0.286,1.117,2
파트너십,2,0,2,0.286,1.117,4
폭주,2,0,2,0.286,1.117,2
한세희,2,0,2,0.286,1.117,2
행보,2,0,2,0.286,1.117,5
희비,2,0,2,0.286,1.117,2
카톡,3,1,2,0.857,1.113,6
가족,2,0,2,0.429,0.95,3
루머에,2,0,2,0.429,0.95,3
시범경기,2,1,1,0.429,0.95,3
신작,2,1,1,0.429,0.95,3
폭발,2,1,1,0.429,0.95,3
2025서,3,1,2,1.143,0.898,8
byd,2,0,2,0.571,0.814,8
감독,2,1,1,0.571,0.814,4
갤럭시,2,0,2,0.571,0.814,6
고조,2,1,1,0.571,0.814,4
관심,2,2,0,0.571,0.814,4
도쿄,2,0,2,0.571,0.814,4
수익성,2,1,1,0.571,0.814,4
여전히,2,0,2,0.571,0.814,4
자신,2,2,0,0.571,0.814,4
주가,2,1,1,0.571,0.814,7
하드웨어,2,0,2,0.571,0.814,5
혁신,2,0,2,0.571,0.814,9
