date,total_articles,signal_articles,signal_ratio
2025-09-08,20,0.0000,0.0000
2025-09-09,9,0.0000,0.0000
2025-09-10,19,0.0000,0.0000
2025-09-11,29,0.0000,0.0000
2025-09-12,29,0.0000,0.0000
2025-09-13,0,0.0000,0.0000
2025-09-14,0,0.0000,0.0000
2025-09-15,28,0.0000,0.0000
2025-09-16,53,0.0000,0.0000
2025-09-17,53,0.0000,0.0000
2025-09-18,55,0.0000,0.0000
2025-09-19,13,0.0000,0.0000
2025-09-20,172,0.0000,0.0000
2025-09-21,1,0.0000,0.0000
2025-09-22,78,0.0000,0.0000
2025-09-23,0,0.0000,0.0000
2025-09-24,0,0.0000,0.0000
2025-09-25,12,0.0000,0.0000
2025-09-26,158,0.0000,0.0000
2025-09-27,68,0.0000,0.0000
2025-09-28,64,0.0000,0.0000
2025-09-29,97,0.0000,0.0000
2025-09-30,351,0.0000,0.0000
2025-10-01,832,0.0000,0.0000
2025-10-02,103,0.0000,0.0000
2025-10-03,54,0.0000,0.0000
2025-10-04,24,18.0000,0.7500
2025-10-05,134,25.0000,0.1866
2025-10-06,13,22.0000,1.6923
2025-10-07,136,21.0000,0.1544
2025-10-08,122,28.0000,0.2295
2025-10-09,53,12.0000,0.2264
2025-10-10,96,32.0000,0.3333
2025-10-11,89,46.0000,0.5169
2025-10-12,0,92.0000,0.0000
2025-10-13,23,0.0000,0.0000
2025-10-14,201,0.0000,0.0000
2025-10-15,164,0.0000,0.0000
2025-10-16,5,0.0000,0.0000
2025-10-17,39,63.0000,1.6154
2025-10-18,3,24.0000,8.0000
2025-10-19,44,0.0000,0.0000
2025-10-20,360,30.0000,0.0833
2025-10-21,353,590.0000,1.6714
2025-10-22,315,627.0000,1.9905
2025-10-23,228,662.0000,2.9035
2025-10-24,782,640.0000,0.8184
2025-10-25,43,0.0000,0.0000
2025-10-26,675,383.0000,0.5674
2025-10-27,462,530.0000,1.1472
2025-10-28,421,544.0000,1.2922
2025-10-29,471,562.0000,1.1932
